,1 bit gate,2 bit gate,,,pieces,,,,,,,,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
86,4,X/H,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,B,W,W,,
,,,,2,W,W,W,W,W,B,W,W,,
,,,,3,W,W,W,W,B,W,W,W,,
,,,,4,W,W,W,W,B,W,W,W,,
,,,,5,B,B,B,B,+,-,B,B,,
,,,,6,W,W,W,W,+,-,W,W,,
,,,,7,W,W,W,W,W,B,W,W,,
,,,,8,W,W,W,W,W,B,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
87,4,X/H,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,+,W,W,W,,
,,,,2,W,W,W,W,+,W,W,W,,
,,,,3,W,W,W,W,+,W,W,W,,
,,,,4,W,W,W,W,+,W,W,W,,
,,,,5,W,W,W,W,+,W,W,W,,
,,,,6,W,W,W,B,+,W,B,W,,
,,,,7,W,W,W,B,+,W,B,W,,
,,,,8,W,W,W,W,+,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
88,4,H/Y/Z,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,+,W,W,W,,
,,,,2,W,W,W,W,+,W,W,W,,
,,,,3,W,W,W,W,+,W,W,W,,
,,,,4,W,W,W,+,W,W,W,W,,
,,,,5,B,B,B,-,B,B,B,B,,
,,,,6,W,W,W,B,-,W,W,W,,
,,,,7,W,W,W,B,-,W,W,W,,
,,,,8,W,W,W,W,+,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
89,4,X/H/Y,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,B,+,W,W,W,,
,,,,2,W,W,W,B,+,W,W,W,,
,,,,3,W,W,W,W,-,W,W,W,,
,,,,4,W,W,W,W,-,W,W,W,,
,,,,5,B,B,B,W,-,B,B,B,,
,,,,6,W,W,W,B,+,W,W,W,,
,,,,7,W,W,W,B,+,W,W,W,,
,,,,8,W,W,W,B,+,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
90,4,X/Y/Z/H,All white,,,,,,,,,,,
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,B,-,+,B,W,W,,
,,,,5,W,W,B,+,-,B,W,W,,
,,,,6,W,W,W,W,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
91,4,X/H/Y,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,W,W,W,W,W,,
,,,,2,W,W,B,W,W,W,W,W,,
,,,,3,W,W,B,W,W,W,W,W,,
,,,,4,W,W,W,B,W,W,W,W,,
,,,,5,W,W,-,-,W,W,W,W,,
,,,,6,B,B,+,+,B,B,B,B,,
,,,,7,W,W,B,W,W,W,W,W,,
,,,,8,W,W,B,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
92,4,X/H/Y/Z,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,+,W,W,W,,
,,,,2,W,W,W,W,+,W,W,W,,
,,,,3,W,W,W,B,-,W,W,W,,
,,,,4,W,W,W,+,B,W,W,W,,
,,,,5,W,W,W,-,W,W,W,W,,
,,,,6,W,W,W,W,+,W,W,W,,
,,,,7,W,W,W,W,+,W,W,W,,
,,,,8,W,W,W,W,+,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
93,4,X/H/Y/Z,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,W,W,W,W,,
,,,,5,W,W,W,W,W,W,W,W,,
,,,,6,W,W,W,W,W,B,W,W,,
,,,,7,W,W,W,W,B,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
94,4,X/H/Y/Z,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,+,W,W,W,W,,
,,,,2,W,W,W,+,W,W,W,W,,
,,,,3,W,W,W,+,W,W,W,W,,
,,,,4,W,W,W,+,W,W,W,W,,
,,,,5,+,+,+,+,W,+,+,+,,
,,,,6,W,W,W,B,-,W,W,W,,
,,,,7,W,W,W,-,B,W,W,W,,
,,,,8,W,W,W,+,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
95,4,X/H/Y/Z,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,B,W,W,W,,
,,,,2,W,W,W,W,B,W,W,W,,
,,,,3,W,W,W,W,B,W,W,W,,
,,,,4,W,W,W,W,B,W,W,W,,
,,,,5,W,W,W,B,W,W,W,W,,
,,,,6,W,W,-,-,W,W,W,W,,
,,,,7,W,W,-,+,B,W,W,W,,
,,,,8,W,W,W,W,B,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
96,4,X/H/Y/Z,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,-,W,W,,
,,,,2,W,W,W,W,W,-,W,W,,
,,,,3,W,W,W,W,B,+,W,W,,
,,,,4,W,W,W,B,W,+,W,W,,
,,,,5,W,W,W,B,B,-,W,W,,
,,,,6,W,W,W,W,W,-,W,W,,
,,,,7,W,W,W,W,W,-,W,W,,
,,,,8,W,W,W,W,W,-,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
97,4,X/H/Y/Z,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,W,W,W,W,,
,,,,5,W,W,W,W,+,+,W,W,,
,,,,6,-,-,-,-,W,B,-,-,,
,,,,7,W,W,W,W,W,B,B,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
98,4,X/H/Y/Z,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,+,B,W,W,,
,,,,2,W,W,W,W,+,B,W,W,,
,,,,3,W,W,W,W,+,B,W,W,,
,,,,4,W,W,W,W,+,B,W,W,,
,,,,5,W,W,W,W,+,B,W,W,,
,,,,6,W,W,W,W,B,+,W,W,,
,,,,7,W,W,W,W,B,+,W,W,,
,,,,8,W,W,W,W,+,B,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
99,4,X/H/Y/Z,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,B,B,W,W,B,-,-,B,,
,,,,4,W,W,-,-,W,+,+,W,,
,,,,5,W,W,+,+,W,W,W,W,,
,,,,6,W,W,W,W,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
100,4,X/H/Y/Z,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,+,W,W,W,W,,
,,,,2,W,W,W,+,W,W,W,W,,
,,,,3,W,W,W,+,W,W,W,W,,
,,,,4,B,B,B,+,B,B,B,B,,
,,,,5,B,B,B,-,W,W,B,B,,
,,,,6,W,W,W,+,B,B,W,W,,
,,,,7,W,W,W,+,W,W,W,W,,
,,,,8,W,W,W,+,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
101,4,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,B,B,B,,
,,,,2,B,B,B,B,B,B,B,B,,
,,,,3,B,B,B,B,B,B,B,B,,
,,,,4,B,B,B,B,B,B,B,B,,
,,,,5,-,-,-,-,-,-,-,-,,
,,,,6,W,W,W,B,B,B,B,W,,
,,,,7,B,B,B,B,B,B,B,B,,
,,,,8,B,B,B,B,B,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
102,4,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,+,B,B,,
,,,,2,B,B,B,B,B,+,B,B,,
,,,,3,B,B,B,B,B,+,B,B,,
,,,,4,B,B,B,B,B,+,B,B,,
,,,,5,B,B,B,B,B,+,B,B,,
,,,,6,W,W,W,W,-,B,W,W,,
,,,,7,B,B,B,B,-,W,B,B,,
,,,,8,B,B,B,B,B,+,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
103,4,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,W,B,B,,
,,,,2,B,B,B,B,B,W,B,B,,
,,,,3,-,-,-,-,-,+,-,-,,
,,,,4,B,B,W,W,-,+,B,B,,
,,,,5,B,B,B,B,-,+,B,B,,
,,,,6,B,B,B,B,B,W,B,B,,
,,,,7,B,B,B,B,B,W,B,B,,
,,,,8,B,B,B,B,B,W,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
104,4,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,W,B,B,B,B,B,,
,,,,2,B,B,W,B,B,B,B,B,,
,,,,3,-,-,-,+,-,-,-,-,,
,,,,4,B,B,B,W,B,B,B,B,,
,,,,5,B,B,B,W,B,B,B,B,,
,,,,6,B,B,B,W,B,B,B,B,,
,,,,7,B,B,W,B,B,B,B,B,,
,,,,8,B,B,W,B,B,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
105,4,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,-,B,B,B,,
,,,,2,B,B,B,B,-,B,B,B,,
,,,,3,B,B,B,B,+,B,B,B,,
,,,,4,W,W,W,W,+,W,W,W,,
,,,,5,B,B,B,B,-,B,B,B,,
,,,,6,B,B,B,W,+,B,B,B,,
,,,,7,B,B,B,W,+,B,B,B,,
,,,,8,B,B,B,B,-,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
106,4,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,B,B,B,,
,,,,2,B,B,B,B,B,B,B,B,,
,,,,3,B,B,B,B,B,B,B,B,,
,,,,4,B,B,B,B,B,B,B,B,,
,,,,5,B,B,B,B,B,W,W,B,,
,,,,6,-,-,+,-,+,-,+,-,,
,,,,7,B,B,B,B,B,B,B,B,,
,,,,8,B,B,B,B,B,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
107,4,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,+,B,B,B,B,,
,,,,2,B,B,B,+,B,B,B,B,,
,,,,3,B,B,W,+,B,B,B,B,,
,,,,4,B,B,W,+,B,B,B,B,,
,,,,5,B,B,B,-,W,B,B,B,,
,,,,6,B,B,B,-,W,B,B,B,,
,,,,7,B,B,B,+,B,B,B,B,,
,,,,8,B,B,B,+,B,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
108,4,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,-,B,B,B,B,B,,
,,,,2,B,B,-,B,B,B,B,B,,
,,,,3,B,B,-,B,B,B,B,B,,
,,,,4,-,-,W,-,-,-,-,-,,
,,,,5,W,W,+,W,W,W,W,W,,
,,,,6,B,B,-,B,B,B,B,B,,
,,,,7,B,B,-,B,B,B,B,B,,
,,,,8,B,B,-,B,B,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
109,4,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,W,B,B,,
,,,,2,B,B,B,B,B,W,B,B,,
,,,,3,-,-,-,-,-,W,B,-,,
,,,,4,W,W,W,W,W,-,+,W,,
,,,,5,B,B,B,B,B,W,B,B,,
,,,,6,B,B,B,B,B,W,B,B,,
,,,,7,B,B,B,B,B,W,B,B,,
,,,,8,B,B,B,B,B,W,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
110,4,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,B,B,B,,
,,,,2,B,B,B,B,B,B,B,B,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,B,B,B,B,-,-,B,B,,
,,,,5,-,-,-,-,B,W,-,-,,
,,,,6,B,B,B,B,B,B,B,B,,
,,,,7,B,B,B,B,B,B,B,B,,
,,,,8,B,B,B,B,B,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
111,4,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,W,B,B,B,B,,
,,,,2,B,B,B,W,B,B,B,B,,
,,,,3,B,B,B,W,B,B,B,B,,
,,,,4,B,B,B,B,W,B,B,B,,
,,,,5,-,-,-,+,-,-,-,-,,
,,,,6,B,B,B,B,W,B,B,B,,
,,,,7,B,B,B,W,B,B,B,B,,
,,,,8,B,B,B,W,B,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
112,4,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,W,B,B,B,B,,
,,,,2,B,B,B,W,B,B,B,B,,
,,,,3,B,B,B,W,B,B,B,B,,
,,,,4,B,B,W,B,B,B,B,B,,
,,,,5,-,-,+,B,B,-,-,-,,
,,,,6,B,B,B,+,-,B,B,B,,
,,,,7,B,B,B,W,B,B,B,B,,
,,,,8,B,B,B,W,B,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
113,4,X/H/Y/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,B,W,W,,
,,,,2,W,W,W,W,W,B,W,W,,
,,,,3,W,W,W,W,W,B,W,W,,
,,,,4,W,W,W,W,W,B,W,W,,
,,,,5,W,W,W,W,W,W,B,W,,
,,,,6,+,+,+,+,+,B,W,+,,
,,,,7,W,W,W,W,W,-,+,W,,
,,,,8,W,W,W,W,W,B,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
114,4,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,W,B,B,B,B,B,,
,,,,2,B,B,W,B,B,B,B,B,,
,,,,3,-,-,W,B,-,-,-,-,,
,,,,4,B,B,+,+,B,B,B,B,,
,,,,5,B,B,W,B,B,B,B,B,,
,,,,6,B,B,W,B,B,B,B,B,,
,,,,7,B,B,W,B,B,B,B,B,,
,,,,8,B,B,W,B,B,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
115,4,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,B,B,B,,
,,,,2,B,B,B,B,B,B,B,B,,
,,,,3,B,B,B,B,B,B,B,B,,
,,,,4,B,B,B,B,W,W,B,B,,
,,,,5,B,B,B,B,B,+,-,B,,
,,,,6,B,B,B,B,W,-,-,B,,
,,,,7,B,B,B,B,B,W,W,B,,
,,,,8,B,B,B,B,B,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
116,4,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,B,B,B,,
,,,,2,B,B,B,B,B,B,B,B,,
,,,,3,B,B,B,B,B,B,B,B,,
,,,,4,-,-,-,W,W,+,-,-,,
,,,,5,B,B,B,+,-,B,B,B,,
,,,,6,B,B,B,B,B,B,B,B,,
,,,,7,B,B,B,B,B,B,B,B,,
,,,,8,B,B,B,B,B,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
117,4,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,+,W,B,W,W,,
,,,,2,W,B,W,+,W,B,W,W,,
,,,,3,B,B,W,-,B,W,B,B,,
,,,,4,W,W,W,+,W,B,W,W,,
,,,,5,W,W,W,+,W,B,W,W,,
,,,,6,W,W,W,+,W,B,W,W,,
,,,,7,W,W,W,+,W,B,W,W,,
,,,,8,W,W,W,+,W,B,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
118,4,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,W,W,W,W,W,,
,,,,2,W,W,B,W,W,W,W,W,,
,,,,3,W,W,B,W,W,W,W,W,,
,,,,4,B,B,+,B,B,B,B,B,,
,,,,5,W,W,B,W,+,W,W,W,,
,,,,6,W,W,B,+,+,W,W,W,,
,,,,7,W,W,B,W,W,W,W,W,,
,,,,8,W,W,B,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
119,4,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,W,W,W,W,W,,
,,,,2,W,W,B,W,W,W,W,W,,
,,,,3,W,W,W,B,W,W,W,W,,
,,,,4,W,W,B,W,W,W,W,W,,
,,,,5,B,B,W,B,B,B,B,B,,
,,,,6,W,W,B,W,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,B,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
120,4,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,W,W,W,W,,
,,,,5,W,W,+,W,W,B,B,W,,
,,,,6,W,+,W,W,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
121,4,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,B,B,B,+,+,B,B,B,,
,,,,4,W,W,W,+,B,+,W,W,,
,,,,5,W,W,W,W,+,+,W,W,,
,,,,6,W,W,W,W,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
122,4,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,+,+,W,W,,
,,,,2,W,W,W,W,+,+,W,W,,
,,,,3,W,W,W,W,+,+,W,W,,
,,,,4,W,W,W,W,W,W,W,W,,
,,,,5,W,W,W,W,+,+,W,W,,
,,,,6,W,W,W,W,+,W,+,W,,
,,,,7,W,W,W,W,+,W,+,W,,
,,,,8,W,W,W,W,+,+,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
123,4,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,B,W,W,W,W,,
,,,,2,W,W,W,B,W,W,W,W,,
,,,,3,W,W,W,B,B,B,W,W,,
,,,,4,W,W,W,W,W,B,W,W,,
,,,,5,W,W,B,B,B,W,W,W,,
,,,,6,W,W,W,B,W,W,W,W,,
,,,,7,W,W,W,B,W,W,W,W,,
,,,,8,W,W,W,B,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
124,4,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,W,W,W,W,W,,
,,,,2,W,W,B,W,W,W,W,W,,
,,,,3,W,W,+,+,W,W,W,W,,
,,,,4,+,+,B,+,W,+,+,+,,
,,,,5,W,W,B,+,+,W,W,W,,
,,,,6,W,W,B,W,W,W,W,W,,
,,,,7,W,W,B,W,W,W,W,W,,
,,,,8,W,W,B,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
125,4,X/Y/Z/CNOT/SWAP/H,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,B,W,B,W,W,,
,,,,2,W,W,W,B,W,B,W,W,,
,,,,3,W,W,B,B,W,B,W,W,,
,,,,4,B,W,B,W,B,W,B,B,,
,,,,5,W,W,W,B,W,B,W,W,,
,,,,6,W,W,W,B,W,B,W,W,,
,,,,7,W,W,W,B,W,B,W,W,,
,,,,8,W,W,W,B,W,B,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
126,4,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,B,B,B,B,B,B,B,B,,
,,,,4,W,W,W,B,B,W,W,W,,
,,,,5,W,W,W,-,+,W,W,W,,
,,,,6,W,W,W,-,+,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
127,4,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,+,W,W,W,B,W,,
,,,,3,W,W,W,W,-,W,W,W,,
,,,,4,W,W,W,+,-,B,W,W,,
,,,,5,W,W,W,W,W,W,W,W,,
,,,,6,W,W,W,W,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
128,4,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,+,W,W,W,W,W,,
,,,,2,W,+,+,W,W,W,W,W,,
,,,,3,B,B,B,B,B,B,B,B,,
,,,,4,W,W,-,W,W,W,W,W,,
,,,,5,W,W,+,W,W,W,W,W,,
,,,,6,W,W,+,W,W,W,W,W,,
,,,,7,W,W,+,W,W,W,W,W,,
,,,,8,W,W,+,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
129,4,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,+,W,W,W,W,W,,
,,,,2,W,W,+,W,W,W,W,W,,
,,,,3,W,W,+,W,W,W,W,W,,
,,,,4,W,W,+,W,W,W,W,W,,
,,,,5,W,W,-,W,W,W,W,W,,
,,,,6,W,W,-,W,W,W,W,W,,
,,,,7,W,W,-,B,B,W,W,W,,
,,,,8,W,W,+,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
130,4,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,B,W,W,,
,,,,2,W,W,W,W,W,B,W,W,,
,,,,3,W,W,W,W,W,B,W,W,,
,,,,4,+,+,+,W,-,-,+,+,,
,,,,5,W,W,W,W,-,B,W,W,,
,,,,6,W,W,W,W,W,B,W,W,,
,,,,7,W,W,W,W,W,B,W,W,,
,,,,8,W,W,W,W,W,B,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
131,4,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,W,B,W,W,W,,
,,,,2,W,W,B,W,B,W,W,W,,
,,,,3,W,W,B,B,W,W,W,W,,
,,,,4,W,W,W,W,W,W,W,W,,
,,,,5,W,W,W,B,B,W,W,W,,
,,,,6,W,W,B,W,B,W,W,W,,
,,,,7,W,W,B,W,B,W,W,W,,
,,,,8,W,W,B,W,B,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
132,4,X/H/Y/Z/CNOT/SWAP,All black,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,B,B,B,,
,,,,2,B,B,B,B,B,B,B,B,,
,,,,3,W,W,W,B,B,B,W,W,,
,,,,4,B,B,B,W,B,W,B,B,,
,,,,5,B,B,B,B,B,B,B,B,,
,,,,6,B,B,B,B,B,B,B,B,,
,,,,7,B,B,B,B,B,B,B,B,,
,,,,8,B,B,B,B,B,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
133,4,X/H/Y/Z/CNOT/SWAP,All black,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,-,W,B,B,B,B,,
,,,,2,B,B,-,W,B,B,B,B,,
,,,,3,B,B,+,W,B,B,B,B,,
,,,,4,B,B,-,W,B,B,B,B,,
,,,,5,B,B,B,W,B,B,B,B,,
,,,,6,B,B,-,-,B,B,B,B,,
,,,,7,B,B,-,W,B,B,B,B,,
,,,,8,B,B,-,W,B,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
134,4,X/H/Y/Z/CNOT/SWAP,All black,,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,B,B,B,,
